CN-2017-100014,2017-01-04,众兴店,其它,2017-01-09,6,Cust-18730,佘宁,消费者,开远,云南,西南,Prod-10000339,Dania_柜_传统,家具,书架,1980.3,3,0,970.2,姜伟,0,2017
CN-2017-100015,2017-01-04,金寨店,信用卡,2017-01-09,6,Cust-18730,佘宁,消费者,开远,云南,西南,Prod-10001595,Office_Star_凳子_红色,家具,椅子,3246.88,4,0,1396.08,姜伟,0,2017
CN-2017-100016,2017-01-04,燎原店,支付宝,2017-01-09,6,Cust-18730,佘宁,消费者,开远,云南,西南,Prod-10004928,柯尼卡_打印机_白色,技术,设备,3727.5,3,0,708.12,姜伟,1,2017
CN-2017-100017,2017-01-04,众兴店,支付宝,2017-01-09,6,Cust-18730,佘宁,消费者,开远,云南,西南,Prod-10004846,摩托罗拉_音频基座_蓝色,技术,电话,3236.24,4,0,1552.88,姜伟,0,2017
CN-2017-100018,2017-01-05,临泉路,微信,2017-01-09,6,Cust-21565,邵伟,公司,万县,重庆,西南,Prod-10001898,Wilson_Jones_孔加固材料_透明,办公用品,装订机,55.86,3,0,22.26,姜伟,0,2017
CN-2017-100019,2017-01-05,临泉路,信用卡,2017-01-09,6,Cust-21565,邵伟,公司,万县,重庆,西南,Prod-10003151,Novimex_凳子_每套两件,家具,椅子,1555.96,2,0,186.48,姜伟,0,2017
CN-2017-100020,2017-01-05,金寨店,支付宝,2017-01-09,6,Cust-21565,邵伟,公司,万县,重庆,西南,Prod-10003209,Acme_大剪刀_工业,办公用品,用品,481.04,2,0,67.2,姜伟,0,2017
CN-2017-100021,2017-01-05,燎原店,信用卡,2017-01-09,6,Cust-17665,陶丽雪,公司,深圳,广东,中南,Prod-10001875,Avery_文件夹标签_可调,办公用品,标签,458.64,14,0,229.32,王倩倩,0,2017
CN-2017-100022,2017-01-05,临泉路,其它,2017-01-09,6,Cust-17665,陶丽雪,公司,深圳,广东,中南,Prod-10004891,Hon_咖啡桌_黑色,家具,桌子,2211.3,2,0.25,29.26,王倩倩,1,2017
CN-2017-100023,2017-01-05,燎原店,信用卡,2017-01-10,6,Cust-20620,钟松,公司,常州,江苏,华东,Prod-10000574,Sanford_铅笔刀_金属,办公用品,美术,126.42,5,0.8,-271.88,杨洪光,0,2017
CN-2017-100024,2017-01-05,庐江路,微信,2017-01-10,6,Cust-20620,钟松,公司,常州,江苏,华东,Prod-10002994,Office_Star_折叠椅_黑色,家具,椅子,499.968,2,0.4,-275.072,杨洪光,0,2017
CN-2017-100025,2017-01-05,燎原店,微信,2017-01-10,6,Cust-20620,钟松,公司,常州,江苏,华东,Prod-10002986,施乐_信纸_回收,办公用品,纸张,628.32,3,0,49.98,杨洪光,0,2017
CN-2017-100026,2017-01-05,金寨店,信用卡,2017-01-10,3,Cust-13840,徐虹,公司,金沙,江苏,华东,Prod-10002415,Novimex_摇椅_红色,家具,椅子,3312.036,9,0.4,-552.384,杨洪光,0,2017
CN-2017-100027,2017-01-05,众兴店,信用卡,2017-01-10,3,Cust-13840,徐虹,公司,金沙,江苏,华东,Prod-10003357,Green_Bar_笔记本_优质,办公用品,纸张,695.1,5,0,333.2,杨洪光,0,2017
CN-2017-100028,2017-01-05,金寨店,其它,2017-01-10,3,Cust-13840,徐虹,公司,金沙,江苏,华东,Prod-10001437,Hon_摇椅_每套两件,家具,椅子,1116.108,3,0.4,-260.652,杨洪光,0,2017
CN-2017-100029,2017-01-05,庐江路,支付宝,2017-01-11,6,Cust-14065,戴虎,消费者,即墨,山东,华东,Prod-10004240,Fellowes_文件夹_蓝色,办公用品,收纳具,246.4,2,0,83.72,杨洪光,0,2017
CN-2017-100030,2017-01-06,庐江路,微信,2017-01-09,1,Cust-20590,贾松,消费者,栖霞,山东,华东,Prod-10004437,Jiffy_局间信封_回收,办公用品,信封,633.36,3,0,12.6,杨洪光,0,2017
CN-2017-100031,2017-01-06,众兴店,支付宝,2017-01-09,1,Cust-20590,贾松,消费者,栖霞,山东,华东,Prod-10002471,施乐_备忘录便条_每包_12_个,办公用品,纸张,164.92,2,0,82.32,杨洪光,0,2017
CN-2017-100032,2017-01-06,燎原店,信用卡,2017-01-09,1,Cust-20590,贾松,消费者,栖霞,山东,华东,Prod-10000440,Avery_装订机盖_耐用,办公用品,装订机,117.32,2,0,32.76,杨洪光,0,2017
CN-2017-100033,2017-01-06,人民路店,信用卡,2017-01-11,3,Cust-13045,尹凤,公司,深圳,广东,中南,Prod-10003307,Sauder_书库_金属,家具,书架,5419.26,3,0,2167.62,王倩倩,0,2017
CN-2017-100034,2017-01-06,燎原店,支付宝,2017-01-11,3,Cust-13045,尹凤,公司,深圳,广东,中南,Prod-10003723,Hewlett_个人复印机_数字化,技术,复印机,2014.74,3,0,1007.16,王倩倩,0,2017
CN-2017-100035,2017-01-06,杨店店,其它,2017-01-11,6,Cust-19060,贺鹏,小型企业,常州,江苏,华东,Prod-10001666,SanDisk_键区_回收,技术,配件,446.544,3,0.4,-0.336,杨洪光,0,2017
CN-2017-100036,2017-01-06,定远路店,其它,2017-01-12,6,Cust-10585,涂博,消费者,成都,四川,西南,Prod-10003598,摩托罗拉_办公室电话机_蓝色,技术,电话,401.856,2,0.4,-267.904,姜伟,1,2017
CN-2017-100037,2017-01-06,临泉路,微信,2017-01-12,6,Cust-10585,涂博,消费者,成都,四川,西南,Prod-10002778,Office_Star_沙滩椅_每套两件,家具,椅子,969.192,6,0.4,-420.168,姜伟,0,2017
CN-2017-100038,2017-01-06,众兴店,信用卡,2017-01-12,6,Cust-10585,涂博,消费者,成都,四川,西南,Prod-10002109,Harbour_Creations_合法证物标签_耐用,办公用品,标签,211.68,4,0,3.92,姜伟,0,2017
CN-2017-100039,2017-01-08,燎原店,其它,2017-01-10,1,Cust-11815,万达侠,公司,镇江,江苏,华东,Prod-10000183,Cardinal_订书机_实惠,办公用品,装订机,139.356,1,0.4,-7.084,杨洪光,0,2017
CN-2017-100040,2017-01-08,庐江路,支付宝,2017-01-10,1,Cust-11815,万达侠,公司,镇江,江苏,华东,Prod-10001607,Avery_圆形标签_可调,办公用品,标签,47.04,2,0,0.84,杨洪光,0,2017
CN-2017-100041,2017-01-09,海恒店,其它,2017-01-10,1,Cust-12490,洪毅,公司,武汉,湖北,中南,Prod-10000749,Stockwell_图钉_金属,办公用品,系固件,185.64,5,0.4,-43.96,王倩倩,0,2017
CN-2017-100042,2017-01-09,海恒店,信用卡,2017-01-10,1,Cust-12490,洪毅,公司,武汉,湖北,中南,Prod-10003194,Kleencut_尺子_工业,办公用品,用品,127.512,3,0.4,-44.688,王倩倩,0,2017
CN-2017-100043,2017-01-09,人民路店,微信,2017-01-10,1,Cust-12490,洪毅,公司,武汉,湖北,中南,Prod-10001133,Sauder_书库_白色,家具,书架,3277.26,3,0.4,-1475.04,王倩倩,1,2017
CN-2017-100044,2017-01-09,人民路店,支付宝,2017-01-10,1,Cust-12490,洪毅,公司,武汉,湖北,中南,Prod-10004623,施乐_计划信息表_回收,办公用品,纸张,189.28,2,0,64.12,王倩倩,0,2017
CN-2017-100045,2017-01-09,燎原店,其它,2017-01-10,1,Cust-12490,洪毅,公司,武汉,湖北,中南,Prod-10003151,三星_耳机_混合尺寸,技术,电话,425.88,2,0.4,-206.08,王倩倩,0,2017
CN-2017-100046,2017-01-09,庐江路,其它,2017-01-13,6,Cust-17755,葛乐,小型企业,开封,河南,中南,Prod-10004263,Cameo_商业信封_银色,办公用品,信封,541.8,6,0,80.64,王倩倩,0,2017
CN-2017-100047,2017-01-10,众兴店,其它,2017-01-10,0,Cust-15340,周康,消费者,肃州,甘肃,西北,Prod-10004623,Avery_有色标签_可调,办公用品,标签,104.44,2,0,11.48,江奕健,0,2017
CN-2017-100048,2017-01-10,人民路店,其它,2017-01-14,6,Cust-14230,彭欢,公司,重庆,重庆,西南,Prod-10002425,Advantus_闹钟_优质,家具,用具,466.76,2,0,144.48,姜伟,0,2017
CN-2017-100049,2017-01-10,金寨店,信用卡,2017-01-14,6,Cust-20020,常升,消费者,温岭,浙江,华东,Prod-10002360,Ibico_装订机盖_实惠,办公用品,装订机,114.66,3,0.4,-40.32,杨洪光,0,2017
CN-2017-100050,2017-01-10,海恒店,支付宝,2017-01-14,6,Cust-20020,常升,消费者,温岭,浙江,华东,Prod-10004429,Stiletto_修剪器_锯齿状,办公用品,用品,441.84,4,0.4,-250.88,杨洪光,0,2017
CN-2017-100051,2017-01-10,人民路店,微信,2017-01-14,6,Cust-20020,常升,消费者,温岭,浙江,华东,Prod-10001614,Cameo_搭扣信封_红色,办公用品,信封,182.7,3,0,89.46,杨洪光,0,2017
CN-2017-100052,2017-01-10,临泉路,其它,2017-01-14,6,Cust-20020,常升,消费者,温岭,浙江,华东,Prod-10004730,Sauder_书架_金属,家具,书架,1228.752,3,0.4,-348.348,杨洪光,0,2017
CN-2017-100053,2017-01-10,临泉路,其它,2017-01-14,6,Cust-14230,彭欢,公司,重庆,重庆,西南,Prod-10003947,Cardinal_孔加固材料_耐用,办公用品,装订机,287.28,9,0,5.04,姜伟,0,2017
CN-2017-100054,2017-01-10,定远路店,支付宝,2017-01-14,6,Cust-14230,彭欢,公司,重庆,重庆,西南,Prod-10000176,Breville_烤面包机_黑色,办公用品,器具,2842.56,8,0,624.96,姜伟,0,2017
CN-2017-100055,2017-01-10,临泉路,信用卡,2017-01-14,6,Cust-20020,常升,消费者,温岭,浙江,华东,Prod-10002112,Eldon_框架_耐用,家具,用具,634.368,2,0.4,-63.672,杨洪光,0,2017
CN-2017-100056,2017-01-10,杨店店,信用卡,2017-01-14,6,Cust-20020,常升,消费者,温岭,浙江,华东,Prod-10002411,BIC_速写本_整包,办公用品,美术,411.012,9,0.8,-720.468,杨洪光,0,2017
CN-2017-100057,2017-01-10,众兴店,其它,2017-01-14,6,Cust-20020,常升,消费者,温岭,浙江,华东,Prod-10004369,Cardinal_装订机_回收,办公用品,装订机,158.928,4,0.4,-21.392,杨洪光,0,2017
CN-2017-100058,2017-01-10,金寨店,其它,2017-01-14,3,Cust-12325,唐栋,小型企业,铜川,陕西,西北,Prod-10004915,Memorex_键盘_回收,技术,配件,968.1,3,0,125.58,江奕健,1,2017
CN-2017-100059,2017-01-10,庐江路,其它,2017-01-14,3,Cust-12325,唐栋,小型企业,铜川,陕西,西北,Prod-10001602,Hoover_微波炉_银色,办公用品,器具,1443.82,1,0,173.18,江奕健,0,2017
CN-2017-100060,2017-01-10,临泉路,信用卡,2017-01-14,3,Cust-17875,涂珑,小型企业,周口,河南,中南,Prod-10003169,松下_计算器_白色,技术,设备,1590.54,7,0,15.68,王倩倩,0,2017
CN-2017-100061,2017-01-10,定远路店,信用卡,2017-01-14,3,Cust-17875,涂珑,小型企业,周口,河南,中南,Prod-10003575,Stiletto_尺子_蓝色,办公用品,用品,69.44,1,0,24.92,王倩倩,0,2017
CN-2017-100062,2017-01-10,众兴店,微信,2017-01-14,6,Cust-13345,常光,公司,抚顺,辽宁,东北,Prod-10000137,Stockwell_橡皮筋_整包,办公用品,系固件,135.576,3,0.4,-63.504,郝杰,1,2017
CN-2017-100063,2017-01-10,海恒店,信用卡,2017-01-14,6,Cust-13345,常光,公司,抚顺,辽宁,东北,Prod-10004726,苹果_音频基座_整包,技术,电话,4207.896,9,0.4,-1473.444,郝杰,0,2017
CN-2017-100064,2017-01-10,定远路店,微信,2017-01-15,6,Cust-12445,曹冬露,消费者,西安,陕西,西北,Prod-10000292,Wilson_Jones_装订机盖_实惠,办公用品,装订机,156.66,3,0,51.66,江奕健,0,2017
CN-2017-100065,2017-01-11,金寨店,信用卡,2017-01-13,3,Cust-17140,邢良,消费者,唐河,河南,中南,Prod-10002785,Binney_&_Smith_钢笔_混合尺寸,办公用品,美术,56.448,1,0.2,15.428,王倩倩,0,2017
CN-2017-100066,2017-01-12,定远路店,支付宝,2017-01-14,1,Cust-13345,常光,公司,合肥,安徽,华东,Prod-10001165,Sanford_铅笔刀_混合尺寸,办公用品,美术,541.52,5,0.2,-94.78,杨洪光,0,2017
CN-2017-100067,2017-01-12,人民路店,其它,2017-01-14,1,Cust-13345,常光,公司,合肥,安徽,华东,Prod-10004354,Enermax_笔记本_多色,办公用品,纸张,139.58,1,0,68.32,杨洪光,0,2017
CN-2017-100068,2017-01-12,众兴店,支付宝,2017-01-14,1,Cust-13345,常光,公司,合肥,安徽,华东,Prod-10002886,Eldon_闹钟_一包多件,家具,用具,792.12,3,0,213.78,杨洪光,0,2017
CN-2017-100069,2017-01-12,海恒店,微信,2017-01-14,1,Cust-13345,常光,公司,合肥,安徽,华东,Prod-10002363,施乐_笔记本_优质,办公用品,纸张,369.18,3,0,88.2,杨洪光,0,2017
CN-2017-100070,2017-01-12,庐江路,其它,2017-01-14,1,Cust-13810,贺虹,公司,天津,天津,华北,Prod-10002118,Kraft_局间信封_红色,办公用品,信封,235.48,1,0,25.9,张怡莲,0,2017
CN-2017-100071,2017-01-12,燎原店,信用卡,2017-01-17,3,Cust-13945,何芯,消费者,重庆,重庆,西南,Prod-10002893,三星_智能手机_全尺寸,技术,电话,1162.28,2,0,150.92,姜伟,0,2017
CN-2017-100072,2017-01-12,庐江路,信用卡,2017-01-17,6,Cust-19165,佘平,消费者,松陵,江苏,华东,Prod-10000032,Acme_美工刀_工业,办公用品,用品,331.128,3,0.4,-132.552,杨洪光,0,2017
CN-2017-100073,2017-01-12,杨店店,信用卡,2017-01-17,6,Cust-19165,佘平,消费者,松陵,江苏,华东,Prod-10004142,Accos_按钉_整包,办公用品,系固件,121.968,3,0.4,-40.992,杨洪光,0,2017
CN-2017-100074,2017-01-12,人民路店,其它,2017-01-17,6,Cust-19165,佘平,消费者,松陵,江苏,华东,Prod-10004714,罗技_键区_实惠,技术,配件,389.088,3,0.4,-64.932,杨洪光,0,2017
CN-2017-100075,2017-01-12,众兴店,信用卡,2017-01-17,6,Cust-21775,潘雯,公司,七台河,黑龙江,东北,Prod-10003209,Acme_大剪刀_工业,办公用品,用品,721.56,3,0,100.8,郝杰,1,2017
CN-2017-100076,2017-01-12,金寨店,信用卡,2017-01-17,6,Cust-21775,潘雯,公司,七台河,黑龙江,东北,Prod-10000871,Eldon_盒_工业,办公用品,收纳具,150.36,3,0,28.56,郝杰,0,2017
CN-2017-100077,2017-01-14,临泉路,微信,2017-01-18,6,Cust-19105,贺平,消费者,阜阳,安徽,华东,Prod-10003555,Rubvermaid_闹钟_一包多件,家具,用具,234.36,1,0,21,杨洪光,0,2017
CN-2017-100078,2017-01-14,定远路店,其它,2017-01-18,6,Cust-14740,徐杰,公司,镇江,江苏,华东,Prod-10003735,Binney_&_Smith_速写本_蓝色,办公用品,美术,129.696,3,0.8,-201.264,杨洪光,0,2017
CN-2017-100079,2017-01-14,金寨店,信用卡,2017-01-19,3,Cust-11590,邓秋,公司,内江,四川,西南,Prod-10004686,SanDisk_信纸_多色,办公用品,纸张,697.62,3,0,188.16,姜伟,0,2017
CN-2017-100080,2017-01-14,杨店店,支付宝,2017-01-19,3,Cust-11590,邓秋,公司,内江,四川,西南,Prod-10002576,Sauder_古典书架_传统,家具,书架,3662.316,3,0.4,-915.684,姜伟,0,2017
CN-2017-100081,2017-01-14,金寨店,信用卡,2017-01-19,3,Cust-11590,邓秋,公司,内江,四川,西南,Prod-10000219,Ibico_装订机_回收,办公用品,装订机,221.76,5,0.4,-30.24,姜伟,0,2017
CN-2017-100082,2017-01-16,定远路店,其它,2017-01-20,6,Cust-20905,廖宣,消费者,西安,陕西,西北,Prod-10003093,OIC_图钉_整包,办公用品,系固件,393.96,6,0,82.32,江奕健,0,2017
CN-2017-100083,2017-01-16,金寨店,其它,2017-01-21,6,Cust-10585,涂博,消费者,长沙,湖南,中南,Prod-10003676,Ibico_订书机_透明,办公用品,装订机,474.88,2,0,218.4,王倩倩,0,2017
CN-2017-100084,2017-01-16,人民路店,其它,2017-01-21,6,Cust-15955,涂丽,消费者,广州,广东,中南,Prod-10000253,宜家_书库_传统,家具,书架,10174.92,6,0,4273.08,王倩倩,0,2017
CN-2017-100085,2017-01-16,庐江路,支付宝,2017-01-21,6,Cust-10585,涂博,消费者,长沙,湖南,中南,Prod-10002404,贝尔金_键盘_耐用,技术,配件,1177.26,3,0,164.64,王倩倩,0,2017
CN-2017-100086,2017-01-17,临泉路,支付宝,2017-01-19,3,Cust-15655,徐关茵,公司,广州,广东,中南,Prod-10003434,Rogers_锁柜_金属,办公用品,收纳具,3932.88,4,0,274.96,王倩倩,0,2017
CN-2017-100087,2017-01-17,海恒店,其它,2017-01-19,3,Cust-15655,徐关茵,公司,广州,广东,中南,Prod-10001211,夏普_墨水_彩色,技术,复印机,5285.7,9,0,1902.6,王倩倩,0,2017
CN-2017-100088,2017-01-17,海恒店,信用卡,2017-01-21,6,Cust-20890,胡宣,公司,盐城,江苏,华东,Prod-10004589,Avery_孔加固材料_耐用,办公用品,装订机,99.288,6,0.4,-63.672,杨洪光,0,2017
CN-2017-100089,2017-01-18,众兴店,其它,2017-01-22,6,Cust-12370,蒋冬露,消费者,沧州,河北,华北,Prod-10003513,Acco_标签_耐用,办公用品,装订机,188.16,4,0,48.72,张怡莲,0,2017
CN-2017-100090,2017-01-18,定远路店,支付宝,2017-01-23,3,Cust-18655,钱宁,公司,天津,天津,华北,Prod-10003557,Fellowes_搁板_蓝色,办公用品,收纳具,269.92,1,0,72.8,张怡莲,1,2017
CN-2017-100091,2017-01-18,临泉路,微信,2017-01-23,3,Cust-18655,钱宁,公司,天津,天津,华北,Prod-10002706,Eldon_盘_金属,办公用品,收纳具,878.08,4,0,394.8,张怡莲,0,2017
CN-2017-100092,2017-01-18,杨店店,信用卡,2017-01-23,3,Cust-18655,钱宁,公司,天津,天津,华北,Prod-10001197,Eldon_锁柜_单宽度,办公用品,收纳具,5542.32,6,0,2604.84,张怡莲,0,2017
CN-2017-100093,2017-01-18,海恒店,其它,2017-01-23,3,Cust-14200,曹欢悦,小型企业,辛置,山西,华北,Prod-10001977,Eldon_框架_优质,家具,用具,1608.18,3,0,739.62,张怡莲,0,2017
CN-2017-100094,2017-01-18,众兴店,信用卡,2017-01-23,3,Cust-14200,曹欢悦,小型企业,辛置,山西,华北,Prod-10002430,Rogers_文件车_单宽度,办公用品,收纳具,3965.64,6,0,1585.92,张怡莲,0,2017
CN-2017-100095,2017-01-18,杨店店,其它,2017-01-24,6,Cust-17665,陶丽雪,公司,龙凤,黑龙江,东北,Prod-10000948,Boston_速写本_整包,办公用品,美术,547.344,3,0.2,54.684,郝杰,0,2017
CN-2017-100096,2017-01-18,定远路店,其它,2017-01-24,6,Cust-13135,范刚,消费者,蒙阴,山东,华东,Prod-10002368,Office_Star_扶手椅_红色,家具,椅子,4362.68,2,0,1526.84,杨洪光,0,2017
CN-2017-100097,2017-01-20,定远路店,其它,2017-01-24,6,Cust-17335,朱丽丽,小型企业,武汉,湖北,中南,Prod-10003910,SAFCO_凳子_可调,家具,椅子,2386.02,5,0.4,-556.78,王倩倩,0,2017
CN-2017-100098,2017-01-20,临泉路,支付宝,2017-01-24,6,Cust-17335,朱丽丽,小型企业,武汉,湖北,中南,Prod-10000812,Advantus_分层置放架_耐用,家具,用具,131.04,2,0.4,-19.88,王倩倩,0,2017
CN-2017-100099,2017-01-20,燎原店,支付宝,2017-01-26,6,Cust-10495,邱博,公司,吴川,广东,中南,Prod-10003256,柯尼卡_电话_多色,技术,设备,402.22,1,0,72.38,王倩倩,0,2017
CN-2017-100100,2017-01-21,海恒店,信用卡,2017-01-26,3,Cust-12595,巩辉,消费者,宿州,安徽,华东,Prod-10004953,BIC_速写本_蓝色,办公用品,美术,363.328,2,0.2,27.048,杨洪光,0,2017
CN-2017-100101,2017-01-21,海恒店,支付宝,2017-01-27,6,Cust-18070,钱幂,小型企业,浯溪,湖南,中南,Prod-10000344,Avery_运输标签_可调,办公用品,标签,91,2,0,7.28,王倩倩,0,2017
CN-2017-100102,2017-01-21,人民路店,其它,2017-01-27,6,Cust-18070,钱幂,小型企业,浯溪,湖南,中南,Prod-10002900,Novimex_合法证物标签_白色,办公用品,标签,146.58,3,0,49.56,王倩倩,0,2017
CN-2017-100103,2017-01-22,众兴店,其它,2017-01-24,3,Cust-21760,马雯,公司,珲春,吉林,东北,Prod-10001262,Eldon_搁板_金属,办公用品,收纳具,443.24,2,0,124.04,郝杰,0,2017
CN-2017-100104,2017-01-22,金寨店,支付宝,2017-01-25,1,Cust-17455,谭临耀,消费者,余姚,浙江,华东,Prod-10004481,Acco_孔加固材料_实惠,办公用品,装订机,55.944,3,0.4,0.924,杨洪光,0,2017
CN-2017-100105,2017-01-22,临泉路,信用卡,2017-01-25,1,Cust-17455,谭临耀,消费者,余姚,浙江,华东,Prod-10004323,OIC_按钉_混合尺寸,办公用品,系固件,103.824,3,0.4,-25.956,杨洪光,0,2017
CN-2017-100106,2017-01-22,人民路店,信用卡,2017-01-25,1,Cust-17455,谭临耀,消费者,余姚,浙江,华东,Prod-10000645,Deflect-O_相框_耐用,家具,用具,411.012,3,0.4,-89.208,杨洪光,0,2017
CN-2017-100107,2017-01-23,海恒店,信用卡,2017-01-25,3,Cust-19360,柯强,消费者,惠州,广东,中南,Prod-10004719,Bevis_圆桌_黑色,家具,桌子,9068.325,5,0.25,1813.525,王倩倩,0,2017
CN-2017-100108,2017-01-23,临泉路,其它,2017-01-27,6,Cust-13240,许根基,小型企业,鹤岗,黑龙江,东北,Prod-10001467,Boston_速写本_蓝色,办公用品,美术,362.88,2,0.2,-68.04,郝杰,0,2017
CN-2017-100109,2017-01-23,杨店店,信用卡,2017-01-27,6,Cust-13240,许根基,小型企业,鹤岗,黑龙江,东北,Prod-10001607,Avery_圆形标签_可调,办公用品,标签,23.52,1,0,0.42,郝杰,1,2017
CN-2017-100110,2017-01-23,人民路店,其它,2017-01-27,6,Cust-13240,许根基,小型企业,鹤岗,黑龙江,东北,Prod-10001319,OIC_夹子_混合尺寸,办公用品,系固件,160.72,2,0,15.96,郝杰,0,2017
CN-2017-100111,2017-01-23,海恒店,微信,2017-01-27,6,Cust-13240,许根基,小型企业,鹤岗,黑龙江,东北,Prod-10000192,Sauder_古典书架_金属,家具,书架,2032.1,1,0,142.24,郝杰,0,2017
CN-2017-100112,2017-01-23,人民路店,支付宝,2017-01-27,6,Cust-13240,许根基,小型企业,鹤岗,黑龙江,东北,Prod-10002981,Deflect-O_门挡_黑色,家具,用具,615.3,3,0,49.14,郝杰,0,2017
CN-2017-100113,2017-01-23,庐江路,信用卡,2017-01-28,6,Cust-18610,丁妮,公司,昆明,云南,西南,Prod-10002874,Enermax_键区_可编程,技术,配件,1098.16,4,0,548.8,姜伟,0,2017
CN-2017-100114,2017-01-23,人民路店,信用卡,2017-01-28,6,Cust-18610,丁妮,公司,昆明,云南,西南,Prod-10004110,SAFCO_沙滩椅_可调,家具,椅子,969.36,4,0,378,姜伟,0,2017
CN-2017-100115,2017-01-23,杨店店,信用卡,2017-01-28,6,Cust-18610,丁妮,公司,昆明,云南,西南,Prod-10000575,Binney_&_Smith_画布_金属,办公用品,美术,245.56,1,0,17.08,姜伟,0,2017
CN-2017-100116,2017-01-23,人民路店,其它,2017-01-28,6,Cust-18610,丁妮,公司,昆明,云南,西南,Prod-10002682,佳能_传真机_每套两件,技术,复印机,10697.904,9,0.2,668.304,姜伟,0,2017
CN-2017-100117,2017-01-24,杨店店,支付宝,2017-01-27,1,Cust-12175,林德伟,公司,宿州,安徽,华东,Prod-10004768,Tenex_搁板_金属,办公用品,收纳具,501.48,2,0,200.48,杨洪光,0,2017
CN-2017-100118,2017-01-24,人民路店,其它,2017-01-28,6,Cust-10675,李彩,消费者,桦甸,吉林,东北,Prod-10003671,Tenex_盘_蓝色,办公用品,收纳具,758.94,3,0,371.7,郝杰,0,2017
CN-2017-100119,2017-01-24,金寨店,其它,2017-01-28,6,Cust-10675,李彩,消费者,桦甸,吉林,东北,Prod-10003148,Deflect-O_灯泡_黑色,家具,用具,88.62,1,0,20.3,郝杰,0,2017
CN-2017-100120,2017-01-24,庐江路,其它,2017-01-28,6,Cust-10675,李彩,消费者,桦甸,吉林,东北,Prod-10001247,Hamilton_Beach_搅拌机_银色,办公用品,器具,1005.06,3,0,291.06,郝杰,0,2017
CN-2017-100121,2017-01-24,庐江路,微信,2017-01-28,6,Cust-10675,李彩,消费者,桦甸,吉林,东北,Prod-10004607,Deflect-O_框架_一包多件,家具,用具,1541.4,3,0,261.66,郝杰,0,2017
CN-2017-100122,2017-01-24,燎原店,微信,2017-01-28,6,Cust-10675,李彩,消费者,桦甸,吉林,东北,Prod-10004186,Novimex_凳子_可调,家具,椅子,1558.2,2,0,701.12,郝杰,0,2017
